ticker,name,sector,industry,city,state,market_cap_cr,revenue_cr,profit_cr,revenue_growth_yoy,pe,eps,roe_pct,debt_to_equity,dividend_yield_pct
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,New Delhi,Unknown,1165603.1633408,172985.2,33556.1,15.33699954127951,43.11627,44.38,19.358998999999997,0.9971800000000001,83.0
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,Pune,Unknown,574251.9648256,49665.45,19017.39,19.734727240422213,30.290258,30.49,17.907,3.13407,59.0
ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,Ahmedabad,Unknown,422508.363776,54240.52,12834.3,-3.4919254439569074,33.095165,6.62,20.908001000000002,0.8233199999999999,
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,Ahmedabad,Unknown,406141.9012096,38735.77,12806.21,27.10533405216613,30.247084,58.28,15.592,0.64051,42.0
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,Mumbai,Unknown,385030.4749568,88136.96,26384.85,3.8364619456400786,14.668326,84.42,13.152,,8.0
ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,Ahmedabad,Unknown,373582.3056896,100468.61,9339.47,2.62921147456835,36.97422,73.7,13.664000000000001,1.1956,5.0
BEL.NS,Bharat Electronics Limited,Industrials,Aerospace & Defense,Bengaluru,Unknown,309167.1023616,23117.3,5321.44,16.13529734761616,51.89571,8.15,,0.0027300000000000002,102.0
BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,Pune,Unknown,284996.8226304,60386.43,10744.21,22.56985666861862,26.542341,384.48,28.046,0.56289,147.0
COALINDIA.NS,Coal India Limited,Energy,Thermal Coal,Kolkata,Unknown,281605.8851328,168400.29,31094.29,-0.459328573319233,9.055688,50.46,28.124001999999997,0.11628999999999999,476.0
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,Pune,Unknown,279706.99264,121192.48,8872.31,21.33800066419657,28.680546,61.01,14.602,2.5636,7.000000000000001
